Location,Other Location Details,Size,Bedrooms,Bathrooms,Price,Property Type,Purchase Type
Lavington,,None,4,4,250000,House,Rent
mukoma road,Karen,None,5,5,350000,House,Rent
Kilimani,,None,4,2,140000,House,Rent
Riverside,Westlands,None,5,5,300000,House,Rent
Lavington,,None,5,,300000,House,Rent
Karen,,None,2,1,100000,House,Rent
Karen,,None,3,,200000,House,Rent
Kitisuru,Westlands,None,5,6,350000,House,Rent
Kitisuru,Westlands,None,5,6,400000,House,Rent
Lake View,Westlands,None,3,3,350000,House,Rent
rosslyn,"Westlands Area, Westlands",None,5,6,400000,House,Rent
nyari,"Westlands Area, Westlands",None,5,6,560000,House,Rent
muthaiga,"Westlands Area, Westlands",None,5,6,560000,House,Rent
lower kabete,"Westlands Area, Westlands",None,5,6,665000,House,Rent
Kilimani,,None,3,3,140000,House,Rent
nyari,"Nyari, Westlands",None,5,6,650000,House,Rent
Ridgeways,,None,5,5,400000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Nyari,Westlands,None,4,,600000,House,Rent
Loresho,Westlands,None,5,5,430000,House,Rent
Karen,,None,5,5,350000,House,Rent
Ridgeways,,None,5,5,330000,House,Rent
Runda,Westlands,None,4,4,235000,House,Rent
Spring valley road,"Spring Valley, Westlands",None,2,1,160000,House,Rent
Kitisuru,Westlands,None,6,6,500000,House,Rent
Runda,Westlands,None,3,3,320000,House,Rent
Runda,Westlands,None,6,6,500000,House,Rent
Runda,Westlands,None,5,5,500000,House,Rent
Ridgeways,,None,7,7,450000,House,Rent
kiambu road,Kiambu Road,None,5,6,250000,House,Rent
Loresho,Westlands,None,4,4,350000,House,Rent
Riverside Drive,"Riverside, Westlands",None,5,5,300000,House,Rent
Karen,,None,2,2,70000,House,Rent
Kitisuru,Westlands,None,5,7,1200000,House,Rent
Lavington,,None,5,5,450000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Gigiri,Westlands,None,4,5,550000,House,Rent
Windy Ridge,Karen,500 m²,5,5,380000,House,Rent
Close,"Silanga, Karen",None,1,1,90000,House,Rent
Runda,Westlands,500 m²,4,5,380000,House,Rent
Kileleshwa,,None,5,5,350000,House,Rent
Windyridge,Karen,200 m²,3,2,200000,House,Rent
lavington,Lavington,None,5,6,450000,House,Rent
Kitisuru,Westlands,None,5,5,520000,House,Rent
Lavington,,None,4,4,450000,House,Rent
Kitisuru,Westlands,None,5,5,360000,House,Rent
Lavington,,None,5,5,380000,House,Rent
Lavington,,None,4,4,330000,House,Rent
Lower Kabete road,"Lower Kabete, Westlands",None,4,3,200000,House,Rent
01,"Runda, Westlands",None,4,4,350000,House,Rent
01,"Runda, Westlands",None,4,4,400000,House,Rent
01,"lavington, Lavington",None,5,5,350000,House,Rent
Windy Ridge,Karen,None,5,5,300000,House,Rent
Lavington,,None,2,,175000,House,Rent
Hardy,Karen,150 m²,2,1,140000,House,Rent
151,"Tala rd, Runda, Westlands",None,5,6,550000,House,Rent
Road,"Silanga, Karen",None,1,1,90000,House,Rent
01,"lavington, Lavington",None,4,4,400000,House,Rent
01,"lavington, Lavington",None,5,5,350000,House,Rent
01,"lavington, Lavington",None,4,4,350000,House,Rent
Karen,,None,3,2,200000,House,Rent
Runda,Westlands,None,4,4,450000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Hurlingham,,None,5,4,200000,House,Rent
Spring Valley,Westlands,None,5,5,450000,House,Rent
Garden Estate,Roysambu,300 m²,5,5,165000,House,Rent
Kiambu road,Kiambu Road,200 m²,4,3,100000,House,Rent
Karen,,None,3,,200000,House,Rent
Rosslyn,Westlands,None,4,4,350000,House,Rent
Loresho,Westlands,None,4,,350000,House,Rent
Lavington,,None,5,,430000,House,Rent
Loresho,Westlands,None,4,4,350000,House,Rent
La-marina creekside Beach Estate,"La-marina Mtwapa, Mtwapa",1200 m²,3,2,28000,House,Rent
Runda,Westlands,None,5,5,400000,House,Rent
TAJ VILLAS NO C2 (Available from July 1st 2024),"Grevillea Grove Road, Westlands Area, Westlands",None,4,4,300000,House,Rent
Lavington,,None,5,,450000,House,Rent
Lavington,,None,5,,400000,House,Rent
Lavington,,None,5,,250000,House,Rent
Lavington,,None,3,,450000,House,Rent
Lavington,,None,5,,530000,House,Rent
Nyari,Westlands,None,4,5,530000,House,Rent
Windyridge,Karen,None,3,3,200000,House,Rent
Kileleshwa,,None,4,4,330000,House,Rent
Runda,Westlands,None,5,6,450000,House,Rent
Nyari,Westlands,None,1,1,100000,House,Rent
Lavington,,None,5,5,450000,House,Rent
Lavington,,None,5,6,450000,House,Rent
Lavington,,None,5,5,450000,House,Rent
Lavington,,None,5,5,400000,House,Rent
Lavington,,None,5,5,250000,House,Rent
Lavington,,None,4,4,400000,House,Rent
Lavington,,None,5,5,450000,House,Rent
Lavington,,None,3,3,450000,House,Rent
Lavington,,None,2,2,175000,House,Rent
Runda,Westlands,None,4,5,350000,House,Rent
Runda,Westlands,None,4,5,400000,House,Rent
Kitisuru,Westlands,10000 ft²,4,5,200000,House,Rent
Kitisuru,Westlands,None,5,6,1200000,House,Rent
Gigiri,Westlands,None,4,4,500000,House,Rent
Gigiri,Westlands,None,6,6,600000,House,Rent
Thigiri,Westlands,None,6,6,400000,House,Rent
Maziwa,"Lavington Green, Lavington",None,4,4,370000,House,Rent
Nyari,Westlands,None,4,5,470000,House,Rent
Rimpa,Ongata Rongai,None,4,4,70000,House,Rent
Spring Valley,Westlands,None,4,3,200000,House,Rent
Muthaiga,,None,4,,532000,House,Rent
Windyridge,Karen,400 m²,5,5,350000,House,Rent
General Mathenge,Westlands,None,4,3,350000,House,Rent
Muthaiga,,2 m²,4,4,950000,House,Rent
Karen Hardy,,None,2,,150000,House,Rent
Westlands Area,Westlands,None,5,5,598500,House,Rent
Brookside,Westlands,None,1,1,70000,House,Rent
Kitisuru,Westlands,None,4,5,400000,House,Rent
Spring Valley,Westlands,1 m²,6,6,780000,House,Rent
Kyuna,Westlands,None,2,3,150000,House,Rent
Windy Ridge,Karen,None,5,5,300000,House,Rent
Kitisuru,Westlands,None,5,6,400000,House,Rent
Lavington,,5000 ft²,5,5,250000,House,Rent
Nyari,Westlands,None,6,7,650000,House,Rent
1,"Kitisuru road, Kitisuru, Westlands",600 m²,6,7,500000,House,Rent
Karen,,None,3,2,180000,House,Rent
Lavington,,None,4,5,420000,House,Rent
Karen,,None,6,,300000,House,Rent
Karen,,None,3,2,200000,House,Rent
Karen,,None,6,8,300000,House,Rent
